A01	FF04986582
B01	FF04986583
C01	FF04986584
D01	FF04986585
E01	FF04986586
F01	FF04986587
A02	FF04986588
B02	FF04986589
C02	FF04986590
D02	FF04986591
E02	FF04986592
F02	FF04986593
A03	FF04986594
B03	FF04986595
C03	FF04986596
D03	FF04986597
E03	FF04986598
F03	FF04986599
A04	FF04986600
B04	FF04986601
C04	FF04986602
D04	FF04986603
E04	FF04986604
F04	FF04986605
A05	FF04986606
B05	FF04986607
C05	FF04986608
D05	FF04986609
E05	FF04986610
F05	FF04986611
A06	FF04986612
B06	FF04986613
C06	FF04986614
D06	FF04986615
E06	FF04986616
F06	FF04986617
A07	FF04986618
B07	FF04986619
C07	FF04986620
D07	FF04986621
E07	FF04986622
F07	FF04986623
A08	FF04986624
B08	FF04986625
C08	FF04986626
D08	FF04986627
E08	FF04986628
F08	FF04986629
