A01	FF04985526
B01	FF04985527
C01	FF04985528
D01	FF04985529
E01	FF04985530
F01	FF04985531
A02	FF04985532
B02	FF04985533
C02	FF04985534
D02	FF04985535
E02	FF04985536
F02	FF04985537
A03	FF04985538
B03	FF04985539
C03	FF04985540
D03	FF04985541
E03	FF04985542
F03	FF04985543
A04	FF04985544
B04	FF04985545
C04	FF04985546
D04	FF04985547
E04	FF04985548
F04	FF04985549
A05	FF04985550
B05	FF04985551
C05	FF04985552
D05	FF04985553
E05	FF04985554
F05	FF04985555
A06	FF04985556
B06	FF04985557
C06	FF04985558
D06	FF04985559
E06	FF04985560
F06	FF04985561
A07	FF04985562
B07	FF04985563
C07	FF04985564
D07	FF04985565
E07	FF04985566
F07	FF04985567
A08	FF04985568
B08	FF04985569
C08	FF04985570
D08	FF04985571
E08	FF04985572
F08	FF04985573
