A01	FF04985574
B01	FF04985575
C01	FF04985576
D01	FF04985577
E01	FF04985578
F01	FF04985579
A02	FF04985580
B02	FF04985581
C02	FF04985582
D02	FF04985583
E02	FF04985584
F02	FF04985585
A03	FF04985586
B03	FF04985587
C03	FF04985588
D03	FF04985589
E03	FF04985590
F03	FF04985591
A04	FF04985592
B04	FF04985593
C04	FF04985594
D04	FF04985595
E04	FF04985596
F04	FF04985597
A05	FF04985598
B05	FF04985599
C05	FF04985600
D05	FF04985601
E05	FF04985602
F05	FF04985603
A06	FF04985604
B06	FF04985605
C06	FF04985606
D06	FF04985607
E06	FF04985608
F06	FF04985609
A07	FF04985610
B07	FF04985611
C07	FF04985612
D07	FF04985613
E07	FF04985614
F07	FF04985615
A08	FF04985616
B08	FF04985617
C08	FF04985618
D08	FF04985619
E08	FF04985620
F08	FF04985621
