A01	FF04985430
B01	FF04985431
C01	FF04985432
D01	FF04985433
E01	FF04985434
F01	FF04985435
A02	FF04985436
B02	FF04985437
C02	FF04985438
D02	FF04985439
E02	FF04985440
F02	FF04985441
A03	FF04985442
B03	FF04985443
C03	FF04985444
D03	FF04985445
E03	FF04985446
F03	FF04985447
A04	FF04985448
B04	FF04985449
C04	FF04985450
D04	FF04985451
E04	FF04985452
F04	FF04985453
A05	FF04985454
B05	FF04985455
C05	FF04985456
D05	FF04985457
E05	FF04985458
F05	FF04985459
A06	FF04985460
B06	FF04985461
C06	FF04985462
D06	FF04985463
E06	FF04985464
F06	FF04985465
A07	FF04985466
B07	FF04985467
C07	FF04985468
D07	FF04985469
E07	FF04985470
F07	FF04985471
A08	FF04985472
B08	FF04985473
C08	FF04985474
D08	FF04985475
E08	FF04985476
F08	FF04985477
