A01	FF04985382
B01	FF04985383
C01	FF04985384
D01	FF04985385
E01	FF04985386
F01	FF04985387
A02	FF04985388
B02	FF04985389
C02	FF04985390
D02	FF04985391
E02	FF04985392
F02	FF04985393
A03	FF04985394
B03	FF04985395
C03	FF04985396
D03	FF04985397
E03	FF04985398
F03	FF04985399
A04	FF04985400
B04	FF04985401
C04	FF04985402
D04	FF04985403
E04	FF04985404
F04	FF04985405
A05	FF04985406
B05	FF04985407
C05	FF04985408
D05	FF04985409
E05	FF04985410
F05	FF04985411
A06	FF04985412
B06	FF04985413
C06	FF04985414
D06	FF04985415
E06	FF04985416
F06	FF04985417
A07	FF04985418
B07	FF04985419
C07	FF04985420
D07	FF04985421
E07	FF04985422
F07	FF04985423
A08	FF04985424
B08	FF04985425
C08	FF04985426
D08	FF04985427
E08	FF04985428
F08	FF04985429
