A01	FF04986630
B01	FF04986631
C01	FF04986632
D01	FF04986633
E01	FF04986634
F01	FF04986635
A02	FF04986636
B02	FF04986637
C02	FF04986638
D02	FF04986639
E02	FF04986640
F02	FF04986641
A03	FF04986642
B03	FF04986643
C03	FF04986644
D03	FF04986645
E03	FF04986646
F03	FF04986647
A04	FF04986648
B04	FF04986649
C04	FF04986650
D04	FF04986651
E04	FF04986652
F04	FF04986653
A05	FF04986654
B05	FF04986655
C05	FF04986656
D05	FF04986657
E05	FF04986658
F05	FF04986659
A06	FF04986660
B06	FF04986661
C06	FF04986662
D06	FF04986663
E06	FF04986664
F06	FF04986665
A07	FF04986666
B07	FF04986667
C07	FF04986668
D07	FF04986669
E07	FF04986670
F07	FF04986671
A08	FF04986672
B08	FF04986673
C08	FF04986674
D08	FF04986675
E08	FF04986676
F08	FF04986677
