A01	FF04986774
B01	FF04986775
C01	FF04986776
D01	FF04986777
E01	FF04986778
F01	FF04986779
A02	FF04986780
B02	FF04986781
C02	FF04986782
D02	FF04986783
E02	FF04986784
F02	FF04986785
A03	FF04986786
B03	FF04986787
C03	FF04986788
D03	FF04986789
E03	FF04986790
F03	FF04986791
A04	FF04986792
B04	FF04986793
C04	FF04986794
D04	FF04986795
E04	FF04986796
F04	FF04986797
A05	FF04986798
B05	FF04986799
C05	FF04986800
D05	FF04986801
E05	FF04986802
F05	FF04986803
A06	FF04986804
B06	FF04986805
C06	FF04986806
D06	FF04986807
E06	FF04986808
F06	FF04986809
A07	FF04986810
B07	FF04986811
C07	FF04986812
D07	FF04986813
E07	FF04986814
F07	FF04986815
A08	FF04986816
B08	FF04986817
C08	FF04986818
D08	FF04986819
E08	FF04986820
F08	FF04986821
