
Working Box Barcode:  FH00015315              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04986582,FF04986588,FF04986594,FF04986600,FF04986606,FF04986612,FF04986618,FF04986624,
B,FF04986583,FF04986589,FF04986595,FF04986601,FF04986607,FF04986613,FF04986619,FF04986625
C,FF04986584,FF04986590,FF04986596,FF04986602,FF04986608,FF04986614,FF04986620,FF04986626
D,FF04986585,FF04986591,FF04986597,FF04986603,FF04986609,FF04986615,FF04986621,FF04986627
E,FF04986586,FF04986592,FF04986598,FF04986604,FF04986610,FF04986616,FF04986622,FF04986628
F,FF04986587,FF04986593,FF04986599,FF04986605,FF04986611,FF04986617,FF04986623,FF04986629
