
Working Box Barcode:  FH00015317              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04986678,FF04986684,FF04986690,FF04986696,FF04986702,FF04986708,FF04986714,FF04986720,
B,FF04986679,FF04986685,FF04986691,FF04986697,FF04986703,FF04986709,FF04986715,FF04986721
C,FF04986680,FF04986686,FF04986692,FF04986698,FF04986704,FF04986710,FF04986716,FF04986722
D,FF04986681,FF04986687,FF04986693,FF04986699,FF04986705,FF04986711,FF04986717,FF04986723
E,FF04986682,FF04986688,FF04986694,FF04986700,FF04986706,FF04986712,FF04986718,FF04986724
F,FF04986683,FF04986689,FF04986695,FF04986701,FF04986707,FF04986713,FF04986719,FF04986725
