
Working Box Barcode:  FH00015318              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04986726,FF04986732,FF04986738,FF04986744,FF04986750,FF04986756,FF04986762,FF04986768,
B,FF04986727,FF04986733,FF04986739,FF04986745,FF04986751,FF04986757,FF04986763,FF04986769
C,FF04986728,FF04986734,FF04986740,FF04986746,FF04986752,FF04986758,FF04986764,FF04986770
D,FF04986729,FF04986735,FF04986741,FF04986747,FF04986753,FF04986759,FF04986765,FF04986771
E,FF04986730,FF04986736,FF04986742,FF04986748,FF04986754,FF04986760,FF04986766,FF04986772
F,FF04986731,FF04986737,FF04986743,FF04986749,FF04986755,FF04986761,FF04986767,FF04986773
