
Working Box Barcode:  FH00015291              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04985430,FF04985436,FF04985442,FF04985448,FF04985454,FF04985460,FF04985466,FF04985472,
B,FF04985431,FF04985437,FF04985443,FF04985449,FF04985455,FF04985461,FF04985467,FF04985473
C,FF04985432,FF04985438,FF04985444,FF04985450,FF04985456,FF04985462,FF04985468,FF04985474
D,FF04985433,FF04985439,FF04985445,FF04985451,FF04985457,FF04985463,FF04985469,FF04985475
E,FF04985434,FF04985440,FF04985446,FF04985452,FF04985458,FF04985464,FF04985470,FF04985476
F,FF04985435,FF04985441,FF04985447,FF04985453,FF04985459,FF04985465,FF04985471,FF04985477
