
Working Box Barcode:  FH00015293              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04985526,FF04985532,FF04985538,FF04985544,FF04985550,FF04985556,FF04985562,FF04985568,
B,FF04985527,FF04985533,FF04985539,FF04985545,FF04985551,FF04985557,FF04985563,FF04985569
C,FF04985528,FF04985534,FF04985540,FF04985546,FF04985552,FF04985558,FF04985564,FF04985570
D,FF04985529,FF04985535,FF04985541,FF04985547,FF04985553,FF04985559,FF04985565,FF04985571
E,FF04985530,FF04985536,FF04985542,FF04985548,FF04985554,FF04985560,FF04985566,FF04985572
F,FF04985531,FF04985537,FF04985543,FF04985549,FF04985555,FF04985561,FF04985567,FF04985573
