
Working Box Barcode:  FH00015290              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04985382,FF04985388,FF04985394,FF04985400,FF04985406,FF04985412,FF04985418,FF04985424,
B,FF04985383,FF04985389,FF04985395,FF04985401,FF04985407,FF04985413,FF04985419,FF04985425
C,FF04985384,FF04985390,FF04985396,FF04985402,FF04985408,FF04985414,FF04985420,FF04985426
D,FF04985385,FF04985391,FF04985397,FF04985403,FF04985409,FF04985415,FF04985421,FF04985427
E,FF04985386,FF04985392,FF04985398,FF04985404,FF04985410,FF04985416,FF04985422,FF04985428
F,FF04985387,FF04985393,FF04985399,FF04985405,FF04985411,FF04985417,FF04985423,FF04985429
