
Working Box Barcode:  FH00015319              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04986774,FF04986780,FF04986786,FF04986792,FF04986798,FF04986804,FF04986810,FF04986816,
B,FF04986775,FF04986781,FF04986787,FF04986793,FF04986799,FF04986805,FF04986811,FF04986817
C,FF04986776,FF04986782,FF04986788,FF04986794,FF04986800,FF04986806,FF04986812,FF04986818
D,FF04986777,FF04986783,FF04986789,FF04986795,FF04986801,FF04986807,FF04986813,FF04986819
E,FF04986778,FF04986784,FF04986790,FF04986796,FF04986802,FF04986808,FF04986814,FF04986820
F,FF04986779,FF04986785,FF04986791,FF04986797,FF04986803,FF04986809,FF04986815,FF04986821
