
Working Box Barcode:  FH00015316              Storage Box Barcode:   
 ,1,2,3,4,5,6,7,8
A,FF04986630,FF04986636,FF04986642,FF04986648,FF04986654,FF04986660,FF04986666,FF04986672,
B,FF04986631,FF04986637,FF04986643,FF04986649,FF04986655,FF04986661,FF04986667,FF04986673
C,FF04986632,FF04986638,FF04986644,FF04986650,FF04986656,FF04986662,FF04986668,FF04986674
D,FF04986633,FF04986639,FF04986645,FF04986651,FF04986657,FF04986663,FF04986669,FF04986675
E,FF04986634,FF04986640,FF04986646,FF04986652,FF04986658,FF04986664,FF04986670,FF04986676
F,FF04986635,FF04986641,FF04986647,FF04986653,FF04986659,FF04986665,FF04986671,FF04986677
