A01	FD16066989
B01	FD16066990
C01	FD16066991
D01	FD16066992
E01	FD16066993
F01	FD16066994
G01	FD16066995
H01	FD16066996
A02	FD16066997
B02	FD16066998
C02	FD16066999
D02	FD16067000
E02	FD16067001
F02	FD16067002
G02	FD16067003
H02	FD16067004
A03	FD16067005
B03	FD16067006
C03	FD16067007
D03	FD16067008
E03	FD16067009
F03	FD16067010
G03	FD16067011
H03	FD16067012
A04	FD16067013
B04	FD16067014
C04	FD16067015
D04	FD16067016
E04	FD16067017
F04	FD16067018
G04	FD16067019
H04	FD16067020
A05	FD16067021
B05	FD16067022
C05	FD16067023
D05	FD16067024
E05	FD16067025
F05	FD16067026
G05	FD16067027
H05	FD16067028
A06	FD16067029
B06	FD16067030
C06	FD16067031
D06	FD16067032
E06	FD16067033
F06	FD16067034
G06	FD16067035
H06	FD16067036
A07	FD16067037
B07	FD16067038
C07	FD16067039
D07	FD16067040
E07	FD16067041
F07	FD16067042
G07	FD16067043
H07	FD16067044
A08	FD16067045
B08	FD16067046
C08	FD16067047
D08	FD16067048
E08	FD16067049
F08	FD16067050
G08	FD16067051
H08	FD16067052
A09	FD16067053
B09	FD16067054
C09	FD16067055
D09	FD16067056
E09	FD16067057
F09	FD16067058
G09	FD16067059
H09	FD16067060
A10	FD16067061
B10	FD16067062
C10	FD16067063
D10	FD16067064
E10	FD16067065
F10	FD16067066
G10	FD16067067
H10	FD16067068
A11	FD16067069
B11	FD16067070
C11	FD16067071
D11	FD16067072
E11	FD16067073
F11	FD16067074
G11	FD16067075
H11	FD16067076
A12	FD16067077
B12	FD16067078
C12	FD16067079
D12	FD16067080
E12	FD16067081
F12	FD16067082
G12	FD16067083
H12	FD16067084
