A01	FD14694964
B01	FD14694963
C01	FD14694962
D01	FD14694961
E01	FD14694960
F01	FD14694959
G01	FD14694958
H01	FD14694957
A02	FD14694956
B02	FD14694955
C02	FD14694954
D02	FD14694953
E02	FD14694952
F02	FD14694951
G02	FD14694950
H02	FD14694949
A03	FD14694948
B03	FD14694947
C03	FD14694946
D03	FD14694945
E03	FD14694944
F03	FD14694943
G03	FD14694942
H03	FD14694941
A04	FD14694940
B04	FD14694939
C04	FD14694938
D04	FD14694937
E04	FD14694936
F04	FD14694935
G04	FD14694934
H04	FD14694933
A05	FD14694932
B05	FD14694931
C05	FD14694930
D05	FD14694929
E05	FD14694928
F05	FD14694927
G05	FD14694926
H05	FD14694925
A06	FD14694924
B06	FD14694923
C06	FD14694922
D06	FD14694921
E06	FD14694920
F06	FD14694919
G06	FD14694918
H06	FD14694917
A07	FD14694916
B07	FD14694915
C07	FD14694914
D07	FD14694913
E07	FD14694912
F07	FD14694911
G07	FD14694910
H07	FD14694909
A08	FD14694908
B08	FD14694907
C08	FD14694906
D08	FD14694905
E08	FD14694904
F08	FD14694903
G08	FD14694902
H08	FD14694901
A09	FD14694900
B09	FD14694899
C09	FD14694898
D09	FD14694897
E09	FD14694896
F09	FD14694895
G09	FD14694894
H09	FD14694893
A10	FD14694892
B10	FD14694891
C10	FD14694890
D10	FD14694889
E10	FD14694888
F10	FD14694887
G10	FD14694886
H10	FD14694885
A11	FD14694884
B11	FD14694883
C11	FD14694882
D11	FD14694881
E11	FD14694880
F11	FD14694879
G11	FD14694878
H11	FD14694877
A12	FD14694876
B12	FD14694875
C12	FD14694874
D12	FD14694873
E12	FD14694872
F12	FD14694871
G12	FD14694870
H12	FD14694869
